iter	Passed	Remaining
0	156	155934
1	169	84500
2	172	57260
3	175	43646
4	183	36613
5	186	30946
6	189	26928
7	192	23881
8	195	21531
9	198	19663
10	201	18128
11	204	16841
12	207	15756
13	210	14825
14	213	14007
15	216	13305
16	219	12678
17	227	12435
18	230	11903
19	233	11425
20	235	10999
21	238	10619
22	241	10269
23	244	9940
24	247	9643
25	249	9362
26	252	9111
27	255	8876
28	272	9116
29	275	8895
30	277	8687
31	280	8489
32	283	8306
33	286	8136
34	289	7974
35	292	7824
36	294	7674
37	297	7538
38	300	7410
39	303	7292
40	306	7175
41	309	7060
42	312	6953
43	315	6852
44	318	6753
45	321	6661
46	324	6571
47	326	6483
48	329	6402
49	332	6322
50	360	6712
51	363	6623
52	366	6541
53	368	6463
54	371	6388
55	374	6316
56	377	6246
57	380	6179
58	383	6116
59	386	6053
60	389	5992
61	392	5932
62	394	5873
63	397	5819
64	400	5765
65	403	5710
66	406	5659
67	409	5609
68	411	5558
69	414	5511
70	417	5465
71	449	5791
72	452	5741
73	455	5694
74	457	5647
75	460	5601
76	463	5557
77	466	5512
78	469	5468
79	472	5428
80	474	5388
81	477	5350
82	493	5452
83	496	5412
84	499	5373
85	501	5334
86	504	5297
87	507	5262
88	510	5228
89	513	5194
90	516	5159
91	519	5127
92	522	5097
93	525	5065
94	528	5034
95	537	5062
96	540	5030
97	543	4999
98	546	4969
99	548	4940
100	552	4913
101	554	4886
102	557	4858
103	560	4829
104	563	4802
105	582	4908
106	584	4880
107	587	4855
108	590	4828
109	593	4802
110	596	4777
111	599	4750
112	601	4719
113	604	4696
114	606	4670
115	609	4647
116	625	4721
117	627	4691
118	630	4668
119	633	4644
120	636	4621
121	639	4598
122	641	4576
123	643	4548
124	646	4527
125	649	4505
126	651	4479
127	670	4564
128	672	4537
129	674	4516
130	676	4490
131	679	4465
132	681	4440
133	683	4416
134	685	4392
135	687	4368
136	689	4344
137	692	4325
138	699	4333
139	701	4310
140	704	4292
141	707	4272
142	709	4253
143	712	4236
144	715	4218
145	718	4201
146	721	4184
147	723	4163
148	725	4142
149	743	4212
150	746	4195
151	749	4178
152	751	4158
153	753	4141
154	756	4121
155	758	4105
156	761	4089
157	763	4070
158	765	4050
159	768	4032
160	773	4029
161	775	4010
162	777	3992
163	779	3973
164	781	3955
165	783	3937
166	785	3919
167	788	3905
168	790	3888
169	792	3871
170	795	3854
171	801	3858
172	803	3841
173	805	3823
174	807	3806
175	809	3789
176	812	3776
177	814	3760
178	816	3744
179	819	3732
180	821	3716
181	823	3701
182	831	3710
183	833	3698
184	835	3682
185	837	3667
186	840	3655
187	842	3640
188	845	3626
189	847	3611
190	849	3596
191	851	3581
192	853	3570
193	860	3573
194	863	3562
195	865	3551
196	868	3540
197	870	3526
198	873	3514
199	875	3503
200	877	3490
201	880	3476
202	882	3463
203	884	3450
204	890	3451
205	892	3438
206	894	3426
207	897	3415
208	899	3403
209	901	3393
210	904	3380
211	906	3368
212	908	3355
213	911	3346
214	913	3333
215	919	3336
216	921	3324
217	923	3312
218	925	3301
219	927	3289
220	929	3277
221	931	3266
222	934	3254
223	936	3242
224	938	3231
225	940	3220
226	942	3209
227	944	3198
228	946	3188
229	948	3176
230	950	3165
231	952	3154
232	955	3144
233	957	3133
234	959	3122
235	961	3112
236	963	3101
237	965	3091
238	968	3083
239	977	3093
240	979	3083
241	981	3073
242	983	3065
243	985	3054
244	988	3044
245	990	3035
246	992	3025
247	994	3015
248	996	3006
249	999	2997
250	1001	2989
251	1004	2982
252	1006	2972
253	1009	2963
254	1011	2954
255	1013	2945
256	1015	2935
257	1018	2928
258	1035	2963
259	1037	2954
260	1039	2944
261	1042	2935
262	1044	2926
263	1046	2917
264	1048	2907
265	1050	2898
266	1052	2889
267	1054	2880
268	1056	2872
269	1065	2879
270	1067	2870
271	1069	2862
272	1071	2854
273	1073	2845
274	1076	2838
275	1079	2831
276	1081	2823
277	1084	2816
278	1086	2807
279	1088	2800
280	1090	2791
281	1093	2783
282	1095	2774
283	1097	2766
284	1099	2758
285	1101	2749
286	1103	2741
287	1105	2733
288	1107	2725
289	1110	2717
290	1112	2710
291	1114	2702
292	1116	2694
293	1118	2686
294	1121	2679
295	1123	2672
296	1125	2664
297	1127	2656
298	1129	2648
299	1131	2641
300	1134	2633
301	1136	2626
302	1138	2619
303	1140	2611
304	1142	2604
305	1144	2596
306	1147	2589
307	1149	2581
308	1151	2574
309	1153	2567
310	1155	2560
311	1157	2552
312	1160	2546
313	1162	2538
314	1164	2531
315	1166	2524
316	1168	2517
317	1170	2510
318	1172	2503
319	1175	2496
320	1176	2489
321	1179	2482
322	1181	2476
323	1183	2469
324	1185	2462
325	1187	2456
326	1190	2449
327	1192	2442
328	1194	2435
329	1196	2428
330	1198	2422
331	1200	2415
332	1202	2408
333	1204	2402
334	1207	2396
335	1209	2389
336	1211	2383
337	1213	2377
338	1215	2370
339	1217	2364
340	1219	2357
341	1222	2351
342	1224	2344
343	1226	2338
344	1228	2331
345	1239	2343
346	1241	2337
347	1244	2330
348	1246	2324
349	1248	2318
350	1250	2312
351	1252	2305
352	1254	2299
353	1256	2293
354	1259	2287
355	1261	2281
356	1269	2285
357	1271	2279
358	1273	2273
359	1275	2267
360	1277	2261
361	1279	2255
362	1282	2250
363	1284	2244
364	1286	2238
365	1288	2232
366	1313	2266
367	1316	2260
368	1318	2254
369	1320	2248
370	1322	2242
371	1324	2235
372	1326	2230
373	1329	2225
374	1331	2219
375	1333	2213
376	1336	2208
377	1357	2233
378	1359	2227
379	1361	2221
380	1363	2215
381	1365	2209
382	1367	2203
383	1370	2198
384	1372	2192
385	1374	2186
386	1376	2181
387	1379	2175
388	1386	2178
389	1389	2173
390	1391	2167
391	1393	2161
392	1395	2156
393	1398	2150
394	1400	2144
395	1402	2139
396	1404	2133
397	1407	2128
398	1409	2122
399	1416	2124
400	1418	2119
401	1420	2113
402	1423	2108
403	1425	2102
404	1427	2096
405	1429	2091
406	1431	2085
407	1433	2080
408	1435	2074
409	1437	2069
410	1445	2071
411	1447	2065
412	1449	2060
413	1451	2054
414	1453	2049
415	1455	2043
416	1458	2038
417	1460	2033
418	1462	2027
419	1464	2022
420	1467	2017
421	1469	2012
422	1472	2008
423	1474	2002
424	1476	1997
425	1478	1992
426	1480	1987
427	1482	1981
428	1484	1976
429	1487	1971
430	1489	1966
431	1491	1961
432	1493	1956
433	1495	1950
434	1498	1945
435	1500	1940
436	1502	1935
437	1504	1930
438	1506	1925
439	1518	1932
440	1520	1927
441	1522	1922
442	1524	1916
443	1532	1919
444	1535	1914
445	1537	1909
446	1539	1904
447	1541	1899
448	1543	1894
449	1545	1889
450	1547	1884
451	1550	1879
452	1552	1874
453	1554	1869
454	1562	1871
455	1564	1866
456	1566	1861
457	1568	1856
458	1570	1851
459	1572	1846
460	1574	1841
461	1576	1836
462	1579	1831
463	1581	1826
464	1583	1821
465	1591	1823
466	1593	1818
467	1595	1813
468	1597	1809
469	1599	1804
470	1601	1799
471	1604	1794
472	1606	1789
473	1608	1784
474	1610	1780
475	1612	1775
476	1614	1770
477	1616	1765
478	1619	1761
479	1621	1756
480	1623	1751
481	1625	1747
482	1627	1742
483	1630	1737
484	1635	1736
485	1637	1731
486	1639	1726
487	1641	1722
488	1643	1717
489	1645	1713
490	1647	1708
491	1650	1703
492	1652	1699
493	1654	1694
494	1656	1690
495	1664	1691
496	1666	1686
497	1668	1682
498	1670	1677
499	1673	1673
500	1675	1668
501	1677	1664
502	1679	1659
503	1681	1655
504	1683	1650
505	1686	1646
506	1688	1641
507	1690	1637
508	1693	1633
509	1695	1628
510	1697	1624
511	1699	1620
512	1701	1615
513	1704	1611
514	1706	1606
515	1708	1602
516	1723	1609
517	1725	1605
518	1727	1600
519	1729	1596
520	1731	1592
521	1733	1587
522	1735	1583
523	1738	1578
524	1740	1574
525	1742	1570
526	1744	1565
527	1746	1561
528	1749	1557
529	1751	1553
530	1753	1548
531	1755	1544
532	1757	1540
533	1760	1535
534	1762	1531
535	1764	1527
536	1766	1523
537	1769	1519
538	1771	1514
539	1773	1510
540	1775	1506
541	1777	1502
542	1779	1497
543	1796	1505
544	1798	1501
545	1800	1497
546	1802	1493
547	1805	1488
548	1810	1487
549	1813	1483
550	1815	1479
551	1817	1475
552	1819	1470
553	1821	1466
554	1824	1462
555	1826	1458
556	1828	1454
557	1830	1449
558	1832	1445
559	1840	1445
560	1842	1441
561	1844	1437
562	1846	1433
563	1848	1429
564	1850	1424
565	1853	1420
566	1855	1416
567	1857	1412
568	1859	1408
569	1861	1404
570	1863	1400
571	1865	1396
572	1867	1391
573	1869	1387
574	1872	1383
575	1874	1379
576	1876	1375
577	1878	1371
578	1880	1367
579	1882	1363
580	1884	1359
581	1887	1355
582	1889	1351
583	1891	1347
584	1893	1343
585	1895	1339
586	1897	1335
587	1899	1330
588	1901	1326
589	1903	1322
590	1905	1318
591	1907	1314
592	1910	1310
593	1912	1306
594	1914	1303
595	1916	1299
596	1918	1295
597	1920	1291
598	1922	1287
599	1925	1283
600	1927	1279
601	1929	1275
602	1931	1271
603	1933	1267
604	1935	1263
605	1938	1260
606	1940	1256
607	1942	1252
608	1944	1248
609	1946	1244
610	1948	1240
611	1951	1236
612	1953	1233
613	1955	1229
614	1971	1233
615	1973	1230
616	1975	1226
617	1977	1222
618	1979	1218
619	1981	1214
620	1983	1210
621	1985	1206
622	1988	1203
623	1990	1199
624	1992	1195
625	1994	1191
626	1996	1187
627	1999	1184
628	2001	1180
629	2003	1176
630	2005	1172
631	2007	1168
632	2009	1165
633	2011	1161
634	2029	1166
635	2031	1162
636	2033	1158
637	2035	1155
638	2037	1151
639	2039	1147
640	2041	1143
641	2043	1139
642	2046	1136
643	2048	1132
644	2050	1128
645	2052	1124
646	2054	1120
647	2056	1117
648	2058	1113
649	2060	1109
650	2062	1105
651	2065	1102
652	2067	1098
653	2069	1094
654	2071	1090
655	2073	1087
656	2088	1090
657	2090	1086
658	2092	1082
659	2094	1078
660	2096	1075
661	2098	1071
662	2100	1067
663	2102	1064
664	2104	1060
665	2106	1056
666	2109	1052
667	2117	1052
668	2119	1048
669	2121	1044
670	2123	1041
671	2125	1037
672	2127	1033
673	2129	1030
674	2131	1026
675	2134	1022
676	2136	1019
677	2138	1015
678	2140	1011
679	2142	1008
680	2144	1004
681	2161	1007
682	2163	1004
683	2165	1000
684	2167	996
685	2169	993
686	2171	989
687	2174	985
688	2176	982
689	2190	984
690	2192	980
691	2195	976
692	2197	973
693	2199	969
694	2201	966
695	2203	962
696	2205	958
697	2207	955
698	2209	951
699	2211	947
700	2220	946
701	2222	943
702	2224	939
703	2226	936
704	2228	932
705	2230	928
706	2232	925
707	2234	921
708	2236	918
709	2238	914
710	2240	910
711	2249	909
712	2251	906
713	2253	902
714	2255	899
715	2257	895
716	2259	891
717	2261	888
718	2264	884
719	2266	881
720	2268	877
721	2270	874
722	2278	872
723	2280	869
724	2282	865
725	2284	862
726	2286	858
727	2289	855
728	2291	851
729	2293	848
730	2295	844
731	2297	841
732	2299	837
733	2301	834
734	2303	830
735	2305	827
736	2307	823
737	2310	820
738	2312	816
739	2314	813
740	2316	809
741	2318	806
742	2320	802
743	2322	799
744	2324	795
745	2327	792
746	2329	788
747	2331	785
748	2333	781
749	2335	778
750	2337	775
751	2339	771
752	2341	768
753	2343	764
754	2346	761
755	2348	757
756	2350	754
757	2352	751
758	2354	747
759	2356	744
760	2358	740
761	2360	737
762	2362	733
763	2364	730
764	2366	727
765	2380	727
766	2382	723
767	2384	720
768	2386	716
769	2388	713
770	2390	710
771	2392	706
772	2394	703
773	2397	699
774	2399	696
775	2401	693
776	2409	691
777	2412	688
778	2414	684
779	2416	681
780	2418	678
781	2420	674
782	2422	671
783	2424	667
784	2426	664
785	2428	661
786	2430	657
787	2433	654
788	2435	651
789	2437	647
790	2439	644
791	2441	641
792	2443	637
793	2445	634
794	2447	631
795	2449	627
796	2451	624
797	2453	621
798	2468	621
799	2470	617
800	2472	614
801	2474	610
802	2476	607
803	2478	604
804	2480	600
805	2483	597
806	2485	594
807	2487	591
808	2489	587
809	2492	584
810	2494	581
811	2496	578
812	2498	574
813	2500	571
814	2503	568
815	2505	564
816	2507	561
817	2509	558
818	2512	555
819	2514	551
820	2516	548
821	2518	545
822	2520	542
823	2526	539
824	2528	536
825	2531	533
826	2533	529
827	2535	526
828	2537	523
829	2539	520
830	2556	519
831	2558	516
832	2560	513
833	2562	510
834	2564	506
835	2566	503
836	2568	500
837	2571	497
838	2573	493
839	2575	490
840	2577	487
841	2579	484
842	2581	480
843	2583	477
844	2585	474
845	2587	471
846	2590	467
847	2592	464
848	2594	461
849	2596	458
850	2598	454
851	2600	451
852	2602	448
853	2605	445
854	2607	442
855	2609	438
856	2611	435
857	2613	432
858	2615	429
859	2629	428
860	2631	424
861	2633	421
862	2635	418
863	2637	415
864	2639	411
865	2641	408
866	2643	405
867	2646	402
868	2648	399
869	2650	396
870	2652	392
871	2654	389
872	2656	386
873	2659	383
874	2661	380
875	2663	376
876	2665	373
877	2667	370
878	2669	367
879	2671	364
880	2673	361
881	2675	357
882	2677	354
883	2679	351
884	2682	348
885	2684	345
886	2686	342
887	2688	339
888	2690	335
889	2692	332
890	2694	329
891	2696	326
892	2698	323
893	2700	320
894	2702	317
895	2705	313
896	2707	310
897	2709	307
898	2711	304
899	2713	301
900	2715	298
901	2717	295
902	2719	292
903	2721	289
904	2723	285
905	2725	282
906	2728	279
907	2730	276
908	2732	273
909	2734	270
910	2736	267
911	2738	264
912	2740	261
913	2743	258
914	2745	255
915	2747	251
916	2749	248
917	2752	245
918	2754	242
919	2756	239
920	2758	236
921	2760	233
922	2762	230
923	2774	228
924	2776	225
925	2778	222
926	2780	218
927	2782	215
928	2784	212
929	2786	209
930	2789	206
931	2791	203
932	2793	200
933	2795	197
934	2803	194
935	2806	191
936	2808	188
937	2810	185
938	2812	182
939	2814	179
940	2816	176
941	2818	173
942	2820	170
943	2822	167
944	2824	164
945	2826	161
946	2828	158
947	2831	155
948	2833	152
949	2835	149
950	2837	146
951	2839	143
952	2841	140
953	2843	137
954	2845	134
955	2847	131
956	2849	128
957	2851	125
958	2853	122
959	2855	118
960	2858	115
961	2860	112
962	2862	109
963	2864	106
964	2866	103
965	2868	100
966	2870	97
967	2872	94
968	2874	91
969	2876	88
970	2878	85
971	2880	82
972	2882	79
973	2884	77
974	2887	74
975	2889	71
976	2891	68
977	2893	65
978	2905	62
979	2907	59
980	2909	56
981	2911	53
982	2913	50
983	2915	47
984	2917	44
985	2920	41
986	2922	38
987	2924	35
988	2926	32
989	2934	29
990	2937	26
991	2939	23
992	2941	20
993	2943	17
994	2945	14
995	2947	11
996	2949	8
997	2951	5
998	2953	2
999	2955	0
